case,cache,stage,metric,unit,value
h96_skew8,cold,k2,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,%,0.19
h96_skew8,cold,k2,sm__inst_executed_pipe_xu.max.pct_of_peak_sustained_elapsed,%,0.41
h96_skew8,cold,k2,sm__inst_executed_pipe_xu.min.pct_of_peak_sustained_elapsed,%,0.11
h96_skew8,cold,k2,sm__inst_executed_pipe_xu.sum.pct_of_peak_sustained_elapsed,%,0.19
h96_skew8,cold,k2,sm__issue_active.avg.pct_of_peak_sustained_elapsed,%,21.43
h96_skew8,cold,k2,sm__issue_active.max.pct_of_peak_sustained_elapsed,%,45.41
h96_skew8,cold,k2,sm__issue_active.min.pct_of_peak_sustained_elapsed,%,12.47
h96_skew8,cold,k2,sm__issue_active.sum.pct_of_peak_sustained_elapsed,%,21.43
h96_skew8,cold,k2,sm__maximum_warps_avg_per_active_cycle,warp,12
h96_skew8,cold,k2,sm__maximum_warps_per_active_cycle_pct,%,18.75
h96_skew8,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.avg,,565890961.30
h96_skew8,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.max,,1199570944
h96_skew8,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.min,,327155712
h96_skew8,cold,k2,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.sum,,83751862272
h96_skew8,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.avg,,0
h96_skew8,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.max,,0
h96_skew8,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.min,,0
h96_skew8,cold,k2,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.sum,,0
h96_skew8,cold,k2,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,%,37.63
h96_skew8,cold,k2,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,20.12
h96_skew8,cold,k2,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_active,%,79.78
h96_skew8,cold,k2,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,%,42.65
h96_skew8,cold,k2,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_active,%,21.76
h96_skew8,cold,k2,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,%,11.63
h96_skew8,cold,k2,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_active,%,37.63
h96_skew8,cold,k2,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,%,20.12
h96_skew8,cold,k2,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,21.43
h96_skew8,cold,k2,sm__throughput.max.pct_of_peak_sustained_elapsed,%,45.41
h96_skew8,cold,k2,sm__throughput.min.pct_of_peak_sustained_elapsed,%,12.47
h96_skew8,cold,k2,sm__throughput.sum.pct_of_peak_sustained_elapsed,%,21.43
h96_skew8,cold,k2,sm__warps_active.avg.pct_of_peak_sustained_active,%,15.02
h96_skew8,cold,k2,sm__warps_active.avg.per_cycle_active,warp,9.61
h96_skew8,cold,k2,sm__warps_active.max.pct_of_peak_sustained_active,%,33.88
h96_skew8,cold,k2,sm__warps_active.max.per_cycle_active,warp,21.69
h96_skew8,cold,k2,sm__warps_active.min.pct_of_peak_sustained_active,%,9.72
h96_skew8,cold,k2,sm__warps_active.min.per_cycle_active,warp,6.22
h96_skew8,cold,k2,sm__warps_active.sum.pct_of_peak_sustained_active,%,15.02
h96_skew8,cold,k2,sm__warps_active.sum.per_cycle_active,warp,1422.44
h96_skew8,cold,k2,smsp__issue_active.avg.pct_of_peak_sustained_active,%,40.45
h96_skew8,cold,k2,smsp__issue_active.max.pct_of_peak_sustained_active,%,104.07
h96_skew8,cold,k2,smsp__issue_active.min.pct_of_peak_sustained_active,%,21.57
h96_skew8,cold,k2,smsp__issue_active.sum.pct_of_peak_sustained_active,%,40.45
h96_skew8,cold,k2,smsp__maximum_warps_avg_per_active_cycle,warp,3
h96_skew8,cold,k2,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,4.41
h96_skew8,cold,k2,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,11.04
h96_skew8,cold,k2,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,3.29
h96_skew8,cold,k2,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0
h96_skew8,cold,k2,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,3.06
h96_skew8,cold,k2,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,4.86
h96_skew8,cold,k2,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,15.56
h96_skew8,cold,k2,smsp__warp_issue_stalled_wait_per_warp_active.pct,%,19.75
h96_skew8,cold,k2,smsp__warps_active.avg.peak_sustained,warp,16
h96_skew8,cold,k2,smsp__warps_active.max.peak_sustained,warp,16
h96_skew8,cold,k2,smsp__warps_active.min.peak_sustained,warp,16
h96_skew8,cold,k2,smsp__warps_active.sum.peak_sustained,warp,9472
h96_skew8,cold,k2,smsp__warps_eligible.avg.per_cycle_active,warp,0.52
h96_skew8,cold,k2,smsp__warps_eligible.max.per_cycle_active,warp,1.70
h96_skew8,cold,k2,smsp__warps_eligible.min.per_cycle_active,warp,0.28
h96_skew8,cold,k2,smsp__warps_eligible.sum.per_cycle_active,warp,309.08
h96_skew8,warm,k1,c2clink__enabled_mask,,0
h96_skew8,warm,k1,c2clink__present,,0
h96_skew8,warm,k1,derived__pct_occupancy_per_barrier_count,,2230
h96_skew8,warm,k1,derived__pct_occupancy_per_block_size,%,5190
h96_skew8,warm,k1,derived__pct_occupancy_per_register_count,%/register,8524
h96_skew8,warm,k1,derived__pct_occupancy_per_shared_mem_size,%/byte,14020
h96_skew8,warm,k1,device__attribute_architecture,,416
h96_skew8,warm,k1,device__attribute_async_engine_count,,4
h96_skew8,warm,k1,device__attribute_can_flush_remote_writes,,0
h96_skew8,warm,k1,device__attribute_can_map_host_memory,,1
h96_skew8,warm,k1,device__attribute_can_tex2d_gather,,1
h96_skew8,warm,k1,device__attribute_can_use_64_bit_stream_mem_ops,,1
h96_skew8,warm,k1,device__attribute_can_use_64_bit_stream_mem_ops_v1,,0
h96_skew8,warm,k1,device__attribute_can_use_host_pointer_for_registered_mem,,1
h96_skew8,warm,k1,device__attribute_can_use_stream_mem_ops_v1,,0
h96_skew8,warm,k1,device__attribute_can_use_stream_wait_value_nor,,1
h96_skew8,warm,k1,device__attribute_can_use_stream_wait_value_nor_v1,,0
h96_skew8,warm,k1,device__attribute_chip,,419
h96_skew8,warm,k1,device__attribute_clock_rate,,2032000
h96_skew8,warm,k1,device__attribute_cluster_launch,,1
h96_skew8,warm,k1,device__attribute_compute_capability_major,,10
h96_skew8,warm,k1,device__attribute_compute_capability_minor,,3
h96_skew8,warm,k1,device__attribute_compute_mode,,0
h96_skew8,warm,k1,device__attribute_compute_preemption_supported,,1
h96_skew8,warm,k1,device__attribute_concurrent_kernels,,1
h96_skew8,warm,k1,device__attribute_concurrent_managed_access,,1
h96_skew8,warm,k1,device__attribute_confidential_computing_mode,,No-CC
h96_skew8,warm,k1,device__attribute_cooperative_launch,,1
h96_skew8,warm,k1,device__attribute_cooperative_multi_device_launch,,1
h96_skew8,warm,k1,device__attribute_deferred_mapping_cuda_array_supported,,1
h96_skew8,warm,k1,device__attribute_device_index,,0
h96_skew8,warm,k1,device__attribute_direct_managed_mem_access_from_host,,0
h96_skew8,warm,k1,device__attribute_display_name,,NVIDIA B300 SXM6 AC
h96_skew8,warm,k1,device__attribute_dma_buf_supported,,1
h96_skew8,warm,k1,device__attribute_ecc_enabled,,1
h96_skew8,warm,k1,device__attribute_fb_bus_width,,7680
h96_skew8,warm,k1,device__attribute_fbp_count,,16
h96_skew8,warm,k1,device__attribute_generic_compression_supported,,1
h96_skew8,warm,k1,device__attribute_global_l1_cache_supported,,1
h96_skew8,warm,k1,device__attribute_global_memory_bus_width,,7680
h96_skew8,warm,k1,device__attribute_gpu_direct_rdma_flush_writes_options,,1
h96_skew8,warm,k1,device__attribute_gpu_direct_rdma_supported,,1
h96_skew8,warm,k1,device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,,1
h96_skew8,warm,k1,device__attribute_gpu_direct_rdma_writes_ordering,,100
h96_skew8,warm,k1,device__attribute_gpu_overlap,,1
h96_skew8,warm,k1,device__attribute_gpu_pci_device_id,,830607582
h96_skew8,warm,k1,device__attribute_gpu_pci_ext_device_id,,12674
h96_skew8,warm,k1,device__attribute_gpu_pci_ext_downstream_link_rate,,16000
h96_skew8,warm,k1,device__attribute_gpu_pci_ext_downstream_link_width,,32
h96_skew8,warm,k1,device__attribute_gpu_pci_ext_gen,,5
h96_skew8,warm,k1,device__attribute_gpu_pci_ext_gpu_gen,,5
h96_skew8,warm,k1,device__attribute_gpu_pci_ext_gpu_link_rate,,64000
h96_skew8,warm,k1,device__attribute_gpu_pci_ext_gpu_link_width,,16
h96_skew8,warm,k1,device__attribute_gpu_pci_revision_id,,161
h96_skew8,warm,k1,device__attribute_gpu_pci_sub_system_id,,551948510
h96_skew8,warm,k1,device__attribute_handle_type_fabric_supported,,1
h96_skew8,warm,k1,device__attribute_handle_type_posix_file_descriptor_supported,,1
h96_skew8,warm,k1,device__attribute_handle_type_win32_handle_supported,,0
h96_skew8,warm,k1,device__attribute_handle_type_win32_kmt_handle_supported,,0
h96_skew8,warm,k1,device__attribute_host_native_atomic_supported,,0
h96_skew8,warm,k1,device__attribute_host_numa_id,,0
h96_skew8,warm,k1,device__attribute_host_register_supported,,1
h96_skew8,warm,k1,device__attribute_implementation,,419
h96_skew8,warm,k1,device__attribute_integrated,,0
h96_skew8,warm,k1,device__attribute_ipc_event_supported,,1
h96_skew8,warm,k1,device__attribute_kernel_exec_timeout,,0
h96_skew8,warm,k1,device__attribute_l2_cache_size,,132644864
h96_skew8,warm,k1,device__attribute_l2s_count,,192
h96_skew8,warm,k1,device__attribute_limits_max_cta_per_sm,,32
h96_skew8,warm,k1,device__attribute_limits_num_tpcs,,74
h96_skew8,warm,k1,device__attribute_local_l1_cache_supported,,1
h96_skew8,warm,k1,device__attribute_managed_memory,,1
h96_skew8,warm,k1,device__attribute_max_access_policy_window_size,,134217728
h96_skew8,warm,k1,device__attribute_max_block_dim_x,,1024
h96_skew8,warm,k1,device__attribute_max_block_dim_y,,1024
h96_skew8,warm,k1,device__attribute_max_block_dim_z,,64
h96_skew8,warm,k1,device__attribute_max_blocks_per_multiprocessor,,32
h96_skew8,warm,k1,device__attribute_max_gpu_frequency_khz,,2032000
h96_skew8,warm,k1,device__attribute_max_grid_dim_x,,2147483647
h96_skew8,warm,k1,device__attribute_max_grid_dim_y,,65535
h96_skew8,warm,k1,device__attribute_max_grid_dim_z,,65535
h96_skew8,warm,k1,device__attribute_max_ipc_per_multiprocessor,,4
h96_skew8,warm,k1,device__attribute_max_ipc_per_scheduler,,1
h96_skew8,warm,k1,device__attribute_max_mem_frequency_khz,,3996000
h96_skew8,warm,k1,device__attribute_max_persisting_l2_cache_size,,82903040
h96_skew8,warm,k1,device__attribute_max_pitch,,2147483647
h96_skew8,warm,k1,device__attribute_max_registers_per_block,,65536
h96_skew8,warm,k1,device__attribute_max_registers_per_multiprocessor,,65536
h96_skew8,warm,k1,device__attribute_max_registers_per_thread,,255
h96_skew8,warm,k1,device__attribute_max_shared_memory_per_block,,49152
h96_skew8,warm,k1,device__attribute_max_shared_memory_per_block_optin,,232448
h96_skew8,warm,k1,device__attribute_max_shared_memory_per_multiprocessor,,233472
h96_skew8,warm,k1,device__attribute_max_threads_per_block,,1024
h96_skew8,warm,k1,device__attribute_max_threads_per_multiprocessor,,2048
h96_skew8,warm,k1,device__attribute_max_warps_per_multiprocessor,,64
h96_skew8,warm,k1,device__attribute_max_warps_per_scheduler,,16
h96_skew8,warm,k1,device__attribute_maximum_surface1d_layered_layers,,2048
h96_skew8,warm,k1,device__attribute_maximum_surface1d_layered_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_surface1d_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_surface2d_height,,65536
h96_skew8,warm,k1,device__attribute_maximum_surface2d_layered_height,,32768
h96_skew8,warm,k1,device__attribute_maximum_surface2d_layered_layers,,2048
h96_skew8,warm,k1,device__attribute_maximum_surface2d_layered_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_surface2d_width,,131072
h96_skew8,warm,k1,device__attribute_maximum_surface3d_depth,,16384
h96_skew8,warm,k1,device__attribute_maximum_surface3d_height,,16384
h96_skew8,warm,k1,device__attribute_maximum_surface3d_width,,16384
h96_skew8,warm,k1,device__attribute_maximum_surfacecubemap_layered_layers,,2046
h96_skew8,warm,k1,device__attribute_maximum_surfacecubemap_layered_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_surfacecubemap_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture1d_layered_layers,,2048
h96_skew8,warm,k1,device__attribute_maximum_texture1d_layered_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture1d_linear_width,,268435456
h96_skew8,warm,k1,device__attribute_maximum_texture1d_mipmapped_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture1d_width,,131072
h96_skew8,warm,k1,device__attribute_maximum_texture2d_gather_height,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture2d_gather_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture2d_height,,65536
h96_skew8,warm,k1,device__attribute_maximum_texture2d_layered_height,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture2d_layered_layers,,2048
h96_skew8,warm,k1,device__attribute_maximum_texture2d_layered_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture2d_linear_height,,65000
h96_skew8,warm,k1,device__attribute_maximum_texture2d_linear_pitch,,2097120
h96_skew8,warm,k1,device__attribute_maximum_texture2d_linear_width,,131072
h96_skew8,warm,k1,device__attribute_maximum_texture2d_mipmapped_height,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture2d_mipmapped_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture2d_width,,131072
h96_skew8,warm,k1,device__attribute_maximum_texture3d_depth,,16384
h96_skew8,warm,k1,device__attribute_maximum_texture3d_depth_alternate,,32768
h96_skew8,warm,k1,device__attribute_maximum_texture3d_height,,16384
h96_skew8,warm,k1,device__attribute_maximum_texture3d_height_alternate,,8192
h96_skew8,warm,k1,device__attribute_maximum_texture3d_width,,16384
h96_skew8,warm,k1,device__attribute_maximum_texture3d_width_alternate,,8192
h96_skew8,warm,k1,device__attribute_maximum_texturecubemap_layered_layers,,2046
h96_skew8,warm,k1,device__attribute_maximum_texturecubemap_layered_width,,32768
h96_skew8,warm,k1,device__attribute_maximum_texturecubemap_width,,32768
h96_skew8,warm,k1,device__attribute_mem_sync_domain_count,,4
h96_skew8,warm,k1,device__attribute_memory_clock_rate,,3996000
h96_skew8,warm,k1,device__attribute_memory_pools_supported,,1
h96_skew8,warm,k1,device__attribute_mempool_supported_handle_types,,9
h96_skew8,warm,k1,device__attribute_mps_enabled,,0
h96_skew8,warm,k1,device__attribute_multi_gpu_board,,0
h96_skew8,warm,k1,device__attribute_multi_gpu_board_group_id,,0
h96_skew8,warm,k1,device__attribute_multicast_supported,,1
h96_skew8,warm,k1,device__attribute_multiprocessor_count,,148
h96_skew8,warm,k1,device__attribute_num_l2s_per_fbp,,12
h96_skew8,warm,k1,device__attribute_num_schedulers_per_multiprocessor,,4
h96_skew8,warm,k1,device__attribute_num_tex_per_multiprocessor,,1
h96_skew8,warm,k1,device__attribute_numa_config,,0
h96_skew8,warm,k1,device__attribute_pageable_memory_access,,1
h96_skew8,warm,k1,device__attribute_pageable_memory_access_uses_host_page_tables,,0
h96_skew8,warm,k1,device__attribute_pci_bus_id,,12
h96_skew8,warm,k1,device__attribute_pci_device_id,,0
h96_skew8,warm,k1,device__attribute_pci_domain_id,,0
h96_skew8,warm,k1,device__attribute_ram_location,,1
h96_skew8,warm,k1,device__attribute_ram_type,,0
h96_skew8,warm,k1,device__attribute_reserved_shared_memory_per_block,,1024
h96_skew8,warm,k1,device__attribute_sass_level,,10
h96_skew8,warm,k1,device__attribute_single_to_double_precision_perf_ratio,,64
h96_skew8,warm,k1,device__attribute_sparse_cuda_array_supported,,1
h96_skew8,warm,k1,device__attribute_stream_priorities_supported,,1
h96_skew8,warm,k1,device__attribute_surface_alignment,,512
h96_skew8,warm,k1,device__attribute_tcc_driver,,0
h96_skew8,warm,k1,device__attribute_tensor_map_access_supported,,1
h96_skew8,warm,k1,device__attribute_texture_alignment,,512
h96_skew8,warm,k1,device__attribute_texture_pitch_alignment,,32
h96_skew8,warm,k1,device__attribute_total_constant_memory,,65536
h96_skew8,warm,k1,device__attribute_total_memory,,287428640768
h96_skew8,warm,k1,device__attribute_unified_addressing,,1
h96_skew8,warm,k1,device__attribute_unified_function_pointers,,1
h96_skew8,warm,k1,device__attribute_virtual_address_management_supported,,1
h96_skew8,warm,k1,device__attribute_warp_size,,32
h96_skew8,warm,k1,dram__bytes_read.avg,byte,9461948
h96_skew8,warm,k1,dram__bytes_read.max,byte,10094848
h96_skew8,warm,k1,dram__bytes_read.min,byte,5045504
h96_skew8,warm,k1,dram__bytes_read.sum,byte,605564672
h96_skew8,warm,k1,dram__bytes_write.avg,byte,10472968
h96_skew8,warm,k1,dram__bytes_write.max,byte,11190016
h96_skew8,warm,k1,dram__bytes_write.min,byte,5555200
h96_skew8,warm,k1,dram__bytes_write.sum,byte,670269952
h96_skew8,warm,k1,dram__throughput.avg.pct_of_peak_sustained_elapsed,%,58.58
h96_skew8,warm,k1,dram__throughput.max.pct_of_peak_sustained_elapsed,%,58.64
h96_skew8,warm,k1,dram__throughput.min.pct_of_peak_sustained_elapsed,%,58.41
h96_skew8,warm,k1,dram__throughput.sum.pct_of_peak_sustained_elapsed,%,58.58
h96_skew8,warm,k1,gpc__cycles_elapsed.avg.per_second,hz,1899645214.58
h96_skew8,warm,k1,gpc__cycles_elapsed.max.per_second,hz,1905517357.98
h96_skew8,warm,k1,gpc__cycles_elapsed.min.per_second,hz,1893883143.60
h96_skew8,warm,k1,gpc__cycles_elapsed.sum.per_second,hz,15197161716.64
h96_skew8,warm,k1,gpu__time_duration.avg,ns,283904
h96_skew8,warm,k1,gpu__time_duration.max,ns,283904
h96_skew8,warm,k1,gpu__time_duration.min,ns,283904
h96_skew8,warm,k1,gpu__time_duration.sum,ns,283904
h96_skew8,warm,k1,gr__workids_granted.avg,,0
h96_skew8,warm,k1,gr__workids_granted.max,,0
h96_skew8,warm,k1,gr__workids_granted.min,,0
h96_skew8,warm,k1,gr__workids_granted.sum,,0
h96_skew8,warm,k1,gr__workids_granted_as_ctas.avg,block,0
h96_skew8,warm,k1,gr__workids_granted_as_ctas.max,block,0
h96_skew8,warm,k1,gr__workids_granted_as_ctas.min,block,0
h96_skew8,warm,k1,gr__workids_granted_as_ctas.sum,block,0
h96_skew8,warm,k1,gr__workids_requested.avg,,0
h96_skew8,warm,k1,gr__workids_requested.max,,0
h96_skew8,warm,k1,gr__workids_requested.min,,0
h96_skew8,warm,k1,gr__workids_requested.sum,,0
h96_skew8,warm,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.avg,,30070.24
h96_skew8,warm,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.max,,33893
h96_skew8,warm,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.min,,25218
h96_skew8,warm,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,4450395
h96_skew8,warm,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.avg,,10742.89
h96_skew8,warm,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.max,,12299
h96_skew8,warm,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.min,,9133
h96_skew8,warm,k1,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,1589948
h96_skew8,warm,k1,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,%,67.61
h96_skew8,warm,k1,l1tex__throughput.max.pct_of_peak_sustained_elapsed,%,69.91
h96_skew8,warm,k1,l1tex__throughput.min.pct_of_peak_sustained_elapsed,%,65.32
h96_skew8,warm,k1,l1tex__throughput.sum.pct_of_peak_sustained_elapsed,%,67.61
h96_skew8,warm,k1,launch__barrier_count,,1
h96_skew8,warm,k1,launch__block_dim_x,block,256
h96_skew8,warm,k1,launch__block_dim_y,block,1
h96_skew8,warm,k1,launch__block_dim_z,block,1
h96_skew8,warm,k1,launch__block_size,,256
h96_skew8,warm,k1,launch__cluster_dim_x,,0
h96_skew8,warm,k1,launch__cluster_dim_y,,0
h96_skew8,warm,k1,launch__cluster_dim_z,,0
h96_skew8,warm,k1,launch__cluster_max_active,cluster,0
h96_skew8,warm,k1,launch__cluster_max_potential_size,block,8
h96_skew8,warm,k1,launch__cluster_scheduling_policy,,PolicySpread
h96_skew8,warm,k1,launch__cluster_size,,0
h96_skew8,warm,k1,launch__context_id,,1
h96_skew8,warm,k1,launch__device_id,,0
h96_skew8,warm,k1,launch__func_cache_config,,CachePreferNone
h96_skew8,warm,k1,launch__function_pcs,,1
h96_skew8,warm,k1,launch__grid_dim_x,,520
h96_skew8,warm,k1,launch__grid_dim_y,,96
h96_skew8,warm,k1,launch__grid_dim_z,,1
h96_skew8,warm,k1,launch__grid_size,,49920
h96_skew8,warm,k1,launch__occupancy_cluster_gpu_pct,%,0
h96_skew8,warm,k1,launch__occupancy_cluster_pct,%,0
h96_skew8,warm,k1,launch__occupancy_limit_barriers,block,32
h96_skew8,warm,k1,launch__occupancy_limit_blocks,block,32
h96_skew8,warm,k1,launch__occupancy_limit_registers,block,8
h96_skew8,warm,k1,launch__occupancy_limit_shared_mem,block,9
h96_skew8,warm,k1,launch__occupancy_limit_warps,block,8
h96_skew8,warm,k1,launch__occupancy_per_barrier_count,,1440
h96_skew8,warm,k1,launch__occupancy_per_block_size,,3339
h96_skew8,warm,k1,launch__occupancy_per_cluster_size,,0
h96_skew8,warm,k1,launch__occupancy_per_register_count,,5504
h96_skew8,warm,k1,launch__occupancy_per_shared_mem_size,,9072
h96_skew8,warm,k1,launch__persisting_l2_cache_size,byte,24870912
h96_skew8,warm,k1,launch__preferred_cluster_dim_x,,0
h96_skew8,warm,k1,launch__preferred_cluster_dim_y,,0
h96_skew8,warm,k1,launch__preferred_cluster_dim_z,,0
h96_skew8,warm,k1,launch__preferred_cluster_size,,0
h96_skew8,warm,k1,launch__registers_per_thread,register/thread,32
h96_skew8,warm,k1,launch__registers_per_thread_allocated,register/thread,32
h96_skew8,warm,k1,launch__shared_mem_config_size,byte,200704
h96_skew8,warm,k1,launch__shared_mem_per_block,byte/block,22272
h96_skew8,warm,k1,launch__shared_mem_per_block_allocated,byte/block,22272
h96_skew8,warm,k1,launch__shared_mem_per_block_driver,byte/block,1024
h96_skew8,warm,k1,launch__shared_mem_per_block_dynamic,byte/block,21248
h96_skew8,warm,k1,launch__shared_mem_per_block_static,byte/block,0
h96_skew8,warm,k1,launch__sm_count,SM,148
h96_skew8,warm,k1,launch__stack_size,,1024
h96_skew8,warm,k1,launch__stream_id,,7
h96_skew8,warm,k1,launch__thread_count,thread,12779520
h96_skew8,warm,k1,launch__tpc_count,,74
h96_skew8,warm,k1,launch__tpc_enabled,,all
h96_skew8,warm,k1,launch__uses_cdp,,0
h96_skew8,warm,k1,launch__uses_green_context,,0
h96_skew8,warm,k1,launch__uses_mps,,0
h96_skew8,warm,k1,launch__uses_nvlink_centric_scheduling,,0
h96_skew8,warm,k1,launch__uses_vgpu,,0
h96_skew8,warm,k1,launch__waves_per_multiprocessor,,42.16
h96_skew8,warm,k1,lts__t_sector_hit_rate.pct,%,45.06
h96_skew8,warm,k1,lts__t_sectors.avg,sector,497529.43
h96_skew8,warm,k1,lts__t_sectors.max,sector,521659
h96_skew8,warm,k1,lts__t_sectors.min,sector,251511
h96_skew8,warm,k1,lts__t_sectors.sum,sector,91545415
h96_skew8,warm,k1,lts__throughput.avg.pct_of_peak_sustained_elapsed,%,69.96
h96_skew8,warm,k1,lts__throughput.max.pct_of_peak_sustained_elapsed,%,77.95
h96_skew8,warm,k1,lts__throughput.min.pct_of_peak_sustained_elapsed,%,35.45
h96_skew8,warm,k1,lts__throughput.sum.pct_of_peak_sustained_elapsed,%,69.96
h96_skew8,warm,k1,numa__cpu_affinity,,1
h96_skew8,warm,k1,numa__dev_display_name_all,,1
h96_skew8,warm,k1,numa__id_cpu,,1
h96_skew8,warm,k1,numa__id_memory,,1
h96_skew8,warm,k1,nvlink__bandwidth,,0
h96_skew8,warm,k1,nvlink__count_logical,,0
h96_skew8,warm,k1,nvlink__count_physical,,0
h96_skew8,warm,k1,nvlink__destination_ports,,0
h96_skew8,warm,k1,nvlink__dev0Id,,0
h96_skew8,warm,k1,nvlink__dev0type,,0
h96_skew8,warm,k1,nvlink__dev1Id,,0
h96_skew8,warm,k1,nvlink__dev1type,,0
h96_skew8,warm,k1,nvlink__dev_display_name_all,,1
h96_skew8,warm,k1,nvlink__enabled_mask,,262143
h96_skew8,warm,k1,nvlink__is_direct_link,,0
h96_skew8,warm,k1,nvlink__is_nvswitch_connected,,0
h96_skew8,warm,k1,nvlink__max_count,,18
h96_skew8,warm,k1,nvlink__peer_access,,0
h96_skew8,warm,k1,nvlink__peer_atomic,,0
h96_skew8,warm,k1,nvlink__source_ports,,0
h96_skew8,warm,k1,nvlink__system_access,,0
h96_skew8,warm,k1,nvlink__system_atomic,,0
h96_skew8,warm,k1,profiler__perfworks_session_reuse,,0
h96_skew8,warm,k1,profiler__replayer_passes,pass,15
h96_skew8,warm,k1,profiler__replayer_passes_type_warmup,pass,0
h96_skew8,warm,k1,sm__cycles_active.avg,cycle,531976.89
h96_skew8,warm,k1,sm__cycles_active.avg.pct_of_peak_sustained_elapsed,%,98.45
h96_skew8,warm,k1,sm__cycles_active.max,cycle,534669
h96_skew8,warm,k1,sm__cycles_active.max.pct_of_peak_sustained_elapsed,%,98.94
h96_skew8,warm,k1,sm__cycles_active.min,cycle,527866
h96_skew8,warm,k1,sm__cycles_active.min.pct_of_peak_sustained_elapsed,%,97.68
h96_skew8,warm,k1,sm__cycles_active.sum,cycle,78732580
h96_skew8,warm,k1,sm__cycles_active.sum.pct_of_peak_sustained_elapsed,%,98.45
h96_skew8,warm,k1,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,%,21.17
h96_skew8,warm,k1,sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed,%,21.85
h96_skew8,warm,k1,sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed,%,20.53
h96_skew8,warm,k1,sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed,%,21.17
h96_skew8,warm,k1,sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_elapsed,%,40.54
h96_skew8,warm,k1,sm__inst_executed_pipe_alu.max.pct_of_peak_sustained_elapsed,%,41.73
h96_skew8,warm,k1,sm__inst_executed_pipe_alu.min.pct_of_peak_sustained_elapsed,%,39.54
h96_skew8,warm,k1,sm__inst_executed_pipe_alu.sum.pct_of_peak_sustained_elapsed,%,40.54
h96_skew8,warm,k1,sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed,%,19.39
h96_skew8,warm,k1,sm__inst_executed_pipe_fma.max.pct_of_peak_sustained_elapsed,%,19.97
